Name,country,gender,Flights,total_flights,total_time
Carlos I. Noriega,Peru,Man,"STS-84 (1997), STS-97 (2000)",2,28817
"Boris Yegorov, M.D.",Soviet Union,Man,Voskhod 1 (1964),1,1457
Boris Volynov,Soviet Union,Man,"Soyuz 5 (1969), Soyuz 21 (1976)",2,75317
Boris Morukov,Russia,Man,STS-106 (2000),1,15550
Bjarni Tryggvason,Canada,Man,STS-85 (1997),1,17067
Bertalan Farkas,Hungary,Man,Soyuz 36 (1980),1,11325
Aydyn Aimbetov,Kazakhstan,Man,Soyuz TMA-18M (2015),1,262067
Arnaldo Tamayo Méndez,Cuba,Man,Soyuz 38 (1980),1,11323
Anton Shkaplerov,Russia,Man,"Soyuz TMA-22 (2011), Soyuz TMA-15M (2014), Soyuz MS-07 (2017)",3,767851
Anousheh Ansari,Iran,Woman,Soyuz TMA-9 (2006),1,15665
André Kuipers,Netherlands,Man,"Soyuz TMA-4 (2004), Soyuz TMA-03M (2011)",2,293270
Andriyan Nikolayev,Soviet Union,Man,"Vostok 3 (1962), Soyuz 9 (1970)",2,31166
Andrei Borisenko,Russia,Man,"Soyuz TMA-21 (2011), Soyuz MS-02 (2016)",2,485816
Andreas Mogensen,Denmark,Man,Soyuz TMA-18M (2015),1,262067
Anatoly Solovyev,Russia,Man,"Soyuz TM-5 (1988), Soyuz TM-9 (1990), Soyuz TM-15 (1992), STS-71 (1995), Soyuz TM-26 (1997)",5,937443
Anatoly Filipchenko,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 16 (1974)",2,15663
Anatoly Artsebarsky,Soviet Union,Man,Soyuz TM-12 (1991),1,208281
Anatoli Levchenko,Soviet Union,Man,Soyuz TM-4 (1987),1,11398
Anatoli Ivanishin,Russia,Man,"Soyuz TMA-22 (2011), Soyuz MS-01 (2016), Soyuz MS-16 (2020)",3,685722
Anatoli Berezovoy,Soviet Union,Man,Soyuz T-5 (1982),1,304384
Alexander Volkov,Soviet Union,Man,"Soyuz T-14 (1985), Soyuz TM-7 (1988), Soyuz TM-13 (1991)",3,563752
Alexander Viktorenko,Soviet Union,Man,"Soyuz TM-3 (1987), Soyuz TM-8 (1989), Soyuz TM-14 (1992), Soyuz TM-20 (1994)",4,704255
Alexander Poleshchuk,Russia,Man,Soyuz TM-16 (1993),1,257803
Alexander Kaleri,Russia,Man,"Soyuz TM-14 (1992), Soyuz TM-24 (1996), Soyuz TM-30 (2000), Soyuz TMA-3 (2003), Soyuz TMA-01M (2010)",5,1107755
Alexander Gerst,Germany,Man,"Soyuz TMA-13M (2014), Soyuz MS-09 (2018)",2,521083
Aleksey Ovchinin,Russia,Man,"Soyuz TMA-20M (2016), Soyuz MS-12 (2019)",2,539731
Aleksei Yeliseyev,Soviet Union,Man,"Soyuz 5 (1969), Soyuz 8 (1969), Soyuz 10 (1971)",3,12862
Aleksei Leonov,Soviet Union,Man,"Voskhod 2 (1965), Soyuz 19 (1975)",2,10112
Aleksei Gubarev,Soviet Union,Man,"Soyuz 17 (1975), Soyuz 28 (1978)",2,53975
Aleksandr Skvortsov,Russia,Man,"Soyuz TMA-18 (2010), Soyuz TMA-12M (2014), Soyuz MS-13 (2019)",3,785809
Aleksandr Serebrov,Soviet Union,Man,"Soyuz T-7 (1982), Soyuz T-8 (1983), Soyuz TM-8 (1989), Soyuz TM-17 (1993)",4,537053
Aleksandr Samokutyayev,Russia,Man,"Soyuz TMA-21 (2011), Soyuz TMA-14M (2014)",2,477323
Aleksandr Pavlovich Aleksandrov,Soviet Union,Man,"Soyuz T-9 (1983), Soyuz TM-3 (1987)",2,446042
Aleksandr Misurkin,Russia,Man,"Soyuz TMA-08M (2013), Soyuz MS-06 (2017)",2,480208
Aleksandr Lazutkin,Russia,Man,Soyuz TM-25 (1997),1,266287
Aleksandr Laveykin,Soviet Union,Man,Soyuz TM-2 (1987),1,250765
Aleksandr Ivanchenkov,Soviet Union,Man,Soyuz 29 (1978),1,201047
Aleksandr Balandin,Soviet Union,Man,Soyuz TM-9 (1990),1,257837
Aleksandar Panayotov Aleksandrov,Bulgaria,Man,Soyuz TM-5 (1988),1,131686
Akihiko Hoshide,Japan,Man,"STS-124 (2008), Soyuz TMA-05M (2012), SpaceX Crew-2 (2021)",3,2522894
Abdul Ahad Mohmand,Afghanistan,Man,Soyuz TM-6 (1988),1,12746
